SubNum_deid;AgeYrs;GenderID;Condition;SameSexBoyHair;SameSexBoyBall;SameSexBoyDress;SameSexBoyDoll;OppSexGirlHair;OppSexGirlBall;OppSexGirlDress;OppSexGirlDoll;SameSexGirlHair;SameSexGirlBall;SameSexGirlDress;SameSexGirlDoll;OppSexBoyHair;OppSexBoyBall;OppSexBoyDress;OppSexBoyDoll
97450;10;1;1;1;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0
99736;8;2;1;1;0;1;0;1;0;1;0;0;1;1;1;1;0;1;0
90745;8;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
95480;9;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;0
93772;5;2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0
92929;12;2;2;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1
90622;4;2;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0
94755;4;2;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1
93979;4;2;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0
94544;8;2;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1
92041;5;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1
91832;5;2;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
91404;7;2;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0
94655;6;2;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
99239;10;2;3;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
90631;7;1;3;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1
92626;7;2;3;1;0;0;1;0;0;1;0;1;1;1;0;1;1;0;0
95130;9;2;3;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1
94030;9;1;3;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1
98615;10;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
94864;6;1;3;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1
